rop,start.date,end.date,year,hepdata.colname
1,3/6/2020,3/8/2020,2020,MARSTGEDATE
2,3/21/2020,3/23/2020,2020,LTMARSTGDATE
3,4/3/2020,4/5/2020,2020,APRSTGEDATE
4,5/2/2020,5/4/2020,2020,MAYSTGEDATE
5,6/5/2020,6/7/2020,2020,JUNSTGEDATE
6,6/20/2020,6/22/2020,2020,LTJUNSTGDATE
1,3/5/2021,3/7/2021,2021,MARSTGEDATE
2,3/20/2021,3/22/2021,2021,LTMARSTGDATE
3,4/2/2021,4/4/2021,2021,APRSTGEDATE
4,5/1/2021,5/3/2021,2021,MAYSTGEDATE
5,6/4/2021,6/6/2021,2021,JUNSTGEDATE
6,6/19/2021,6/21/2021,2021,LTJUNSTGDATE
1,3/5/2022,3/6/2022,2022,MARSTGEDATE
2,3/19/2022,3/21/2022,2022,LTMARSTGDATE
3,4/1/2022,4/3/2022,2022,APRSTGEDATE
4,4/30/2022,5/2/2022,2022,MAYSTGEDATE
5,6/3/2022,6/5/2022,2022,JUNSTGEDATE
6,6/18/2022,6/20/2022,2022,LTJUNSTGDATE
